qa_id,id,file_name,question,gold_answer,reference_normalized,asr_normalized,wer,cer,answer_preserved,gold_answer_token_count,asr_llm_answer_raw,asr_llm_answer_normalized,asr_em,asr_f1,latency_sec,output_tokens,status,error,oracle_answer_raw,oracle_answer_normalized,oracle_em,oracle_f1,delta_f1,propagation_failure
298,1981,4032573743005383985.wav,اگر فقط با کشتی تفریحی در ساحل پهلو بگیرید، به چه چیزی نیاز ندارید؟,ویزای مجزا,اگر فقط توسط کشتی‌های تفریحی در ساحل پهلو بگیرید، نیازی به ویزای مجزا نخواهید داشت از سال 2009,اگر فقط توسط کشتی های تفریحی در ساحل پهلو بگیرید نیازی به ویزای مجزا نخواهید داشت از سال دو هزار و نه,0.2105263157894736,0.1290322580645161,True,2,"ویزا 
",ویزا,0,0.0,0.795893124,4,ok,,"ویزا 
",ویزا,0,0.0,0.0,
298,1981,1770348293109080784.wav,اگر فقط با کشتی تفریحی در ساحل پهلو بگیرید، به چه چیزی نیاز ندارید؟,ویزای مجزا,اگر فقط توسط کشتی‌های تفریحی در ساحل پهلو بگیرید، نیازی به ویزای مجزا نخواهید داشت از سال 2009,اگر فقط توسط کشتی های تفریحی در ساحل پهلو بگیرید نیاز به طور مجزا نخواهید داشت از سال دو هزار و نه,0.3157894736842105,0.1935483870967742,False,2,"از سال دو هزار و نه 
",از سال دو هزار و نه,0,0.0,1.130884838,8,ok,,"ویزا 
",ویزا,0,0.0,0.0,
277,1958,8801817035807811783.wav,این شهر بیشتر چه نوع خصایصی دارد؟,خصایص عربی,این شهر به طور آشکاری با سایر شهرهای این کشور در تضاد است زیرا بیشتر دارای خصایص عربی ست تا خصایص آفریقایی,این شهر به طور آشکاری با سایر شهرهای این کشور در تضاد است زیرا بیشتر دارای خصایص عربی است تا خصایص آفریقایی,0.0454545454545454,0.0094339622641509,True,2,"عربی 
",عربی,0,0.666666667,0.779930764,4,ok,,"عربی 
",عربی,0,0.666666667,0.0,
277,1958,1303321597744613521.wav,این شهر بیشتر چه نوع خصایصی دارد؟,خصایص عربی,این شهر به طور آشکاری با سایر شهرهای این کشور در تضاد است زیرا بیشتر دارای خصایص عربی ست تا خصایص آفریقایی,این شهر به طور آشکاری باشد این شهر به طور آشکاری با سایر شهرهای این کشور در تضاد است زیرا بیشتر دارای خصوصیات عربی است تا خصایص آفریقایی,0.3636363636363636,0.3018867924528302,False,2,"عربی 
",عربی,0,0.666666667,0.778242834,4,ok,,"عربی 
",عربی,0,0.666666667,0.0,
277,1958,16158863560781945190.wav,این شهر بیشتر چه نوع خصایصی دارد؟,خصایص عربی,این شهر به طور آشکاری با سایر شهرهای این کشور در تضاد است زیرا بیشتر دارای خصایص عربی ست تا خصایص آفریقایی,این شهر به طور آشکاری با سایر شهرها یکی این کشور در تضاده است زیرا بیشتر دارای خصایص عربی است تا خصایص آفریقایی,0.1818181818181818,0.0471698113207547,True,2,"عربی 
",عربی,0,0.666666667,0.799253484,4,ok,,"عربی 
",عربی,0,0.666666667,0.0,
28,1690,992619923182841399.wav,بر اساس بیانیه، چه چیزی بهتر از لغو اعتبار می‌تواند به منافع ورزشکاران و باشگاه‌ها کمک کند؟,پیشروی و تغییرات معنادار در سازمان ما,ما با بیانیه usoc موافقیم که با پیشروی و تغییرات معنادار در سازمان ما به جای لغو اعتبار بهتر می‌توان در خدمت منافع ورزشکاران و باشگاه‌های ما و ورزش آنها بود,ما با بیانیه یو اس سی موافقیم که با پیشروی و تغییرات معنادار در سازمان ما به جای لغو اعتبار بهتر می تواند در خدمت منافع ورزشکاران و باشگاه های ما و ورزش آنها بود,0.1212121212121212,0.0576923076923076,True,7,"پیشروی و تغییرات معنادار در سازمان 
",پیشروی و تغییرات معنادار در سازمان,0,0.923076923,1.604286366,12,ok,,"پیشروی و تغییرات معنادار در سازمان 
",پیشروی و تغییرات معنادار در سازمان,0,0.923076923,0.0,
247,1928,11701131312348059954.wav,تا سال 1976 چند درصد ماچو پیچو بازسازی شده بود؟,سی درصد,تا سال ۱۹۷۶ سی درصد ماچو پیچو بازسازی شد و مرمت تا امروز ادامه دارد,تا سال یک هزار و نهصد و هفتاد و شش سی درصد ماچوپیچو بازسازی شد و مرمت تا امروز ادامه دارد,0.6666666666666666,0.417910447761194,True,2,"30% 
",30,0,0.0,0.877653371,5,ok,,"30% 
",30,0,0.0,0.0,
247,1928,6764476279549343561.wav,تا سال 1976 چند درصد ماچو پیچو بازسازی شده بود؟,سی درصد,تا سال ۱۹۷۶ سی درصد ماچو پیچو بازسازی شد و مرمت تا امروز ادامه دارد,تا سال یک هزار و نهصد و هفتاد و شش سی درصد ماچوپیچو بازسازی شد و مرمت تا امروز ادامه دارد,0.6666666666666666,0.417910447761194,True,2,"30% 
",30,0,0.0,0.834452676,5,ok,,"30% 
",30,0,0.0,0.0,
247,1928,18255427209555699694.wav,تا سال 1976 چند درصد ماچو پیچو بازسازی شده بود؟,سی درصد,تا سال ۱۹۷۶ سی درصد ماچو پیچو بازسازی شد و مرمت تا امروز ادامه دارد,تا سال یک هزار و نهصد و هفتاد و شش سی درصد ماچوپیچو بازسازی شد و مرمت تا امروز ادامه دارد,0.6666666666666666,0.417910447761194,True,2,"30% 
",30,0,0.0,0.879627501,5,ok,,"30% 
",30,0,0.0,0.0,
113,1784,12332394848386303622.wav,بر اساس حماسه نورس، اریک سرخ هنگام سفر به غرب چه سرزمینی را پیدا کرد؟,گرینلند,گرینلند به تدریج مستقر شد در حماسه نورس می گویند که اریک سرخ به جرم قتل از ایسلند تبعید شد و هنگام مسافرت به سمت غرب گرینلند را پیدا کرد و نام آن را گرینلند گذاشتند,گرینلند به تدریج مستقر شد در حماسه نورس می گویند که اریک سرخ به جرم قتل از ایسلند تبعید شد و هنگام مسافرت به سمت غرب گرینلند را پیدا کرد و نام آن را گرینلند گذاشت کند,0.0555555555555555,0.0121951219512195,True,1,"گرینلند 
",گرینلند,1,1.0,1.048109464,6,ok,,"گرینلند 
",گرینلند,1,1.0,0.0,0
113,1784,8569123014074577987.wav,بر اساس حماسه نورس، اریک سرخ هنگام سفر به غرب چه سرزمینی را پیدا کرد؟,گرینلند,گرینلند به تدریج مستقر شد در حماسه نورس می گویند که اریک سرخ به جرم قتل از ایسلند تبعید شد و هنگام مسافرت به سمت غرب گرینلند را پیدا کرد و نام آن را گرینلند گذاشتند,گرینلند به تدریج مستقر شد در حماسه نرم می گویند که اریک سرخ به جرم قتل از ایسلند تبعید شد و هنگام مسافرت به سمت غرب گرینلند را پیدا کرد و نام آن را گرینلند گذاشت,0.0555555555555555,0.024390243902439,True,1,"گرینلند 
",گرینلند,1,1.0,0.991553485,6,ok,,"گرینلند 
",گرینلند,1,1.0,0.0,0
113,1784,16083994564007956760.wav,بر اساس حماسه نورس، اریک سرخ هنگام سفر به غرب چه سرزمینی را پیدا کرد؟,گرینلند,گرینلند به تدریج مستقر شد در حماسه نورس می گویند که اریک سرخ به جرم قتل از ایسلند تبعید شد و هنگام مسافرت به سمت غرب گرینلند را پیدا کرد و نام آن را گرینلند گذاشتند,گرینلند به تدریج مستقر شد در حماسه نورس می گویند که اریک سرخ به جرم قتل از ایسلند تبعید شد و هنگام مسافرت به سمت غرب گرینلند را پیرو پیدا کرد و نام آن را گرینلند گذاشته اند,0.0833333333333333,0.048780487804878,True,1,"گرینلند 
",گرینلند,1,1.0,0.994636361,6,ok,,"گرینلند 
",گرینلند,1,1.0,0.0,0
216,1896,3752293437342179770.wav,هدف مشترک هیأت ژیمناستیک آمریکا و USOC چیست؟,امن نمودن ورزش ژیمناستیک و سایر ورزش‌ها تا حد ممکن,هیأت ژیمناستیک ایالات متحده آمریکا و usoc نیز همان هدف را دارد امن نمودن ورزش ژیمناستیک و سایر ورزش‌ها تا حد ممکن تا رؤیاهای خود را در محیطی امن مثبت و توانمند دنبال کنند,هیات ژیمناستیک ایالات متحده آمریکا و یو اس سی هم نموندن نیز همان هدف را دارد ورزش ژیمناستیک سایر ورزش ها تا حد ممکن تا رویاهای خود را در محیط امن و موس بدت و توانمند دنبال کنند,0.4,0.2294117647058823,False,11,"هدف مشترک آنها این است که ورزشکاران ژیمناستیک و سایر ورزشکاران بتوانند رویاهای خود را در محیطی امن و توانمند دنبال کنند. 
",هدف مشترک آنها این است که ورزشکاران ژیمناستیک و سایر ورزشکاران بتوانند رویاهای خود را در محیطی امن و توانمند دنبال کنند,0,0.242424242,4.351271564,39,ok,,"امن نمودن ورزش ژیمناستیک و سایر ورزش‌ها تا حد ممکن تا رؤیاهای خود را در محیطی امن مثبت و توانمند دنبال کنند. 
",امن نمودن ورزش ژیمناستیک و سایر ورزش ها تا حد ممکن تا رؤیاهای خود را در محیطی امن مثبت و توانمند دنبال کنند,0,0.647058824,0.404634582,
255,1936,6845934753066707140.wav,پری اعلام کرد در انتخابات مقدماتی کدام ایالت رقابت خواهد کرد؟,کارولینای جنوبی,پری بیان کرد که برای ارزیابی نتایج رایزنی امشب به تگزاس می‌روم و ببینم راهی رو به جلو برایم در این مسابقه وجود دارد یا خیر ولی بعدها گفت که او در این مسابقه می‌ماند و در انتخابات مقدماتی کارولینای جنوبی در ۲۱ ژانویه رقابت خواهد کرد,پری بیان کرد که برای ارزیابی نتایج رایزنی امشب به تگزاس می روم و ببینم راهی روبه جلو برایم در این مسابقه وجود دارد یا خیر ولی بعدها گفت که او در این مسابقه می ماند و در انتخابات مقدماتی کارولینای جنوبی در بیست و یک ژانویه رقابت خواهد کرد,0.1020408163265306,0.0432900432900432,True,2,"کارولینای جنوبی 
",کارولینای جنوبی,1,1.0,1.142036437,7,ok,,"کارولینای جنوبی 
",کارولینای جنوبی,1,1.0,0.0,0
255,1936,3043995952964077500.wav,پری اعلام کرد در انتخابات مقدماتی کدام ایالت رقابت خواهد کرد؟,کارولینای جنوبی,پری بیان کرد که برای ارزیابی نتایج رایزنی امشب به تگزاس می‌روم و ببینم راهی رو به جلو برایم در این مسابقه وجود دارد یا خیر ولی بعدها گفت که او در این مسابقه می‌ماند و در انتخابات مقدماتی کارولینای جنوبی در ۲۱ ژانویه رقابت خواهد کرد,پیری بیان کرد که برای ارزیابی نتایج رایزنی امشب به تگزاس می روم تا ببینم راهی رو به جلو برایم در این مسابقه وجود دارد یا خیر ولی بعدها گفت که او در این مدت در این مسابقه می ماند و در انتخابات مقدماتی کارولینای جنوبی در بیست و یک ژانویه رقابت خواهد کرد,0.1632653061224489,0.0995670995670995,True,2,"کارولینای جنوبی 
",کارولینای جنوبی,1,1.0,1.090780014,7,ok,,"کارولینای جنوبی 
",کارولینای جنوبی,1,1.0,0.0,0
255,1936,1045802484906718753.wav,پری اعلام کرد در انتخابات مقدماتی کدام ایالت رقابت خواهد کرد؟,کارولینای جنوبی,پری بیان کرد که برای ارزیابی نتایج رایزنی امشب به تگزاس می‌روم و ببینم راهی رو به جلو برایم در این مسابقه وجود دارد یا خیر ولی بعدها گفت که او در این مسابقه می‌ماند و در انتخابات مقدماتی کارولینای جنوبی در ۲۱ ژانویه رقابت خواهد کرد,پری بیان کرد که برای ارزیابی نتایج رایزنی امشب به تگزاس می روم و ببینم راهی رو به جلو برایم در این مسابقه وجود دارد یا خیر ولی بعدها گفت که او در این مسابقه می ماند و در انتخابات مقدماتی کارولینای جنوبی در بیست و یک ژانویه رقابت خواهد کرد,0.0612244897959183,0.0389610389610389,True,2,"کارولینای جنوبی 
",کارولینای جنوبی,1,1.0,1.117089714,7,ok,,"کارولینای جنوبی 
",کارولینای جنوبی,1,1.0,0.0,0
232,1913,17260900713464587563.wav,غرش ببر بیشتر شبیه چه چیزی توصیف شده است؟,جمله ای از کلمات غرولندی,غرش ببر مانند صدای کامل غرش یک شیر نیست بلکه بیشتر شبیه به جمله ای از کلمات غرولندی است,غرش ببر مانند صدای کامل غرش یک شیر نیست بلکه بیشتر شبیه به جمله ای از کلمات غرولندی ست,0.0526315789473684,0.0114942528735632,True,5,"جمله ای از کلمات غرولندی 
",جمله ای از کلمات غرولندی,1,1.0,1.474647927,11,ok,,"جمله ای از کلمات غرولندی 
",جمله ای از کلمات غرولندی,1,1.0,0.0,0
232,1913,7907978667151995341.wav,غرش ببر بیشتر شبیه چه چیزی توصیف شده است؟,جمله ای از کلمات غرولندی,غرش ببر مانند صدای کامل غرش یک شیر نیست بلکه بیشتر شبیه به جمله ای از کلمات غرولندی است,غرش ببر مانند صدای کامل غرش یک شیر نیست بلکه بیشتر شبیه به جمله ای از کلمات غرولند دی است,0.1052631578947368,0.0229885057471264,False,5,"غرولند دی 
",غرولند دی,0,0.0,0.943407762,6,ok,,"جمله ای از کلمات غرولندی 
",جمله ای از کلمات غرولندی,1,1.0,1.0,1
232,1913,7460890769989269776.wav,غرش ببر بیشتر شبیه چه چیزی توصیف شده است؟,جمله ای از کلمات غرولندی,غرش ببر مانند صدای کامل غرش یک شیر نیست بلکه بیشتر شبیه به جمله ای از کلمات غرولندی است,غرش ببر مانند صدای کامل غرش یک شیر نیست بلکه بیشتر شبیه به جمله ای از کلمات غرولند است,0.0526315789473684,0.0114942528735632,False,5,"غرولند 
",غرولند,0,0.0,0.837937455,5,ok,,"جمله ای از کلمات غرولندی 
",جمله ای از کلمات غرولندی,1,1.0,1.0,1
197,1876,5430340871533989561.wav,اداره مدیریت اورژانسی جزایر ماریانای شمالی گفت چه چیزی گزارش نشده است؟,هیچ خسارتی,اداره مدیریت اورژانسی جزایر ماریانای شمالی گفت که هیچ خسارتی در این کشور گزارش نشده است,اداره مدیریت اورژانسی جزایر ماریانای شمالی گفت که هیچ خسارتی در این کشور گزارش نشده است,0.0,0.0,True,2,"خسارت 
",خسارت,0,0.0,0.893162801,5,ok,,"خسارت 
",خسارت,0,0.0,0.0,
197,1876,5737889062301275187.wav,اداره مدیریت اورژانسی جزایر ماریانای شمالی گفت چه چیزی گزارش نشده است؟,هیچ خسارتی,اداره مدیریت اورژانسی جزایر ماریانای شمالی گفت که هیچ خسارتی در این کشور گزارش نشده است,اداره مدیریت اورژانسی جزایر ماریانای شمالی گفت که هیچ خسارتی در این کشور گزارش نشده است,0.0,0.0,True,2,"خسارت 
",خسارت,0,0.0,0.881804246,5,ok,,"خسارت 
",خسارت,0,0.0,0.0,
197,1876,5547296720588851970.wav,اداره مدیریت اورژانسی جزایر ماریانای شمالی گفت چه چیزی گزارش نشده است؟,هیچ خسارتی,اداره مدیریت اورژانسی جزایر ماریانای شمالی گفت که هیچ خسارتی در این کشور گزارش نشده است,اداره مدیریت اورژانسی جزایر جزایر مارینای ماریانای شمالی گفت که هیچ خسارتی در این کشور گزارش نشده است,0.125,0.160919540229885,True,2,"خسارت 
",خسارت,0,0.0,0.973679224,5,ok,,"خسارت 
",خسارت,0,0.0,0.0,
186,1864,15208629824631503871.wav,خانم کیرشنر قصد نامزدی ریاست‌جمهوری خود را در کجا اعلام کرد؟,تئاتر آرژانتین,خانم کیرشنر قصد خود برای حضور در انتخابات ریاست جمهوری را در تئاتر آرژانتین اعلام کرد همان جاییکه او از آنجا به عنوان نماینده استان بوئنوس آیرس کارزار ۲۰۰۵ خود را برای مجلس سنا آغاز کرده بود,خانم کرشنر قصد خود را قصد خود برای حضور در انتخابات ریاست جمهوری را در تئاتر آرژانتین اعلام کرد همانجاییکه او از آنجا به عنوان نماینده استان بوینس آیرس کارزار دو هزار و پنج خود را برای مجلس سنا آغاز کرده بود,0.2972972972972973,0.1473684210526315,True,2,"تئاتر آرژانتین 
",تئاتر آرژانتین,1,1.0,1.321558932,9,ok,,"تئاتر آرژانتین 
",تئاتر آرژانتین,1,1.0,0.0,0
186,1864,5465753852957897557.wav,خانم کیرشنر قصد نامزدی ریاست‌جمهوری خود را در کجا اعلام کرد؟,تئاتر آرژانتین,خانم کیرشنر قصد خود برای حضور در انتخابات ریاست جمهوری را در تئاتر آرژانتین اعلام کرد همان جاییکه او از آنجا به عنوان نماینده استان بوئنوس آیرس کارزار ۲۰۰۵ خود را برای مجلس سنا آغاز کرده بود,خانم کرشنر قصد خود برای حضور در انتخابات ریاست جمهوری را در تئاتر آرژانتین اعلام کرد همانجاییکه او از آنجا به عنوان نماینده استان بوئنوس آیرس کارزار دو هزار و پنج خود را برای مجلس سنا آغاز کرده بود,0.1891891891891892,0.0789473684210526,True,2,"تئاتر آرژانتین 
",تئاتر آرژانتین,1,1.0,1.351369787,9,ok,,"تئاتر آرژانتین 
",تئاتر آرژانتین,1,1.0,0.0,0
199,1878,1884495481290160499.wav,قدرت مرکزی کلیسا برای بیش از هزار سال در کجا بوده است؟,روم,قدرت مرکزی کلیسا برای بیش از هزار سال در روم بوده است و این تمرکز قدرت و پول برای بسیاری سبب این سؤال شده که آیا این اصل به هدف خود رسیده است یا خیر,قدرت مرکزی کلیسا برای بیش از هزار سال در رم بوده است و این تمرکز قدرت و پول برای بسیاری سبب این سوال شده که آیا این اصل به هدف خود رسیده است یا خیر,0.0571428571428571,0.0135135135135135,False,1,"رم 
",رم,0,0.0,0.649765172,3,ok,,"روم 
",روم,1,1.0,1.0,1
199,1878,4477446719534346480.wav,قدرت مرکزی کلیسا برای بیش از هزار سال در کجا بوده است؟,روم,قدرت مرکزی کلیسا برای بیش از هزار سال در روم بوده است و این تمرکز قدرت و پول برای بسیاری سبب این سؤال شده که آیا این اصل به هدف خود رسیده است یا خیر,قدرت مرکزی کلیسا برای بیش از هزار سال در رم بوده است و این تمرکز قدرت و پول برای بسیاری سبب این سوال شده که آیا این اصل به هدف خود رسیده است یا خیر,0.0571428571428571,0.0135135135135135,False,1,"رم 
",رم,0,0.0,0.695193766,3,ok,,"روم 
",روم,1,1.0,1.0,1
199,1878,7553987392343172249.wav,قدرت مرکزی کلیسا برای بیش از هزار سال در کجا بوده است؟,روم,قدرت مرکزی کلیسا برای بیش از هزار سال در روم بوده است و این تمرکز قدرت و پول برای بسیاری سبب این سؤال شده که آیا این اصل به هدف خود رسیده است یا خیر,قدرت مرکزی کلیسا برای بیش از هزار سال در روم بوده است و این تمرکز قدرت و پول برای بسیاری سبب این سوال شده که آیا این اصل به هدف خود رسیده است یا خیر,0.0285714285714285,0.0067567567567567,True,1,"روم 
",روم,1,1.0,0.693286034,3,ok,,"روم 
",روم,1,1.0,0.0,0
87,1756,652518230408286558.wav,ترامپ اعلام کرد نیروهای ایالات متحده از کدام کشور خارج خواهند شد؟,سوریه,اواخر روز یکشنبه رئیس جمهور ایالات متحده دونالد ترامپ در بیانیه‌ای از طریق دبیر مطبوعاتی کاخ سفید اعلام کرد نیروهای ایالات متحده از سوریه خارج خواهند شد,اواخر روز یکشنبه رئیس جمهور ایالات متحده دونالد ترامپ در بیانیه ای از طریق دبیر مطبوعاتی کاخ سفید اعلام کرد نیروی الهی یالات متحده از سوریه خارج خواهد شد,0.1428571428571428,0.0394736842105263,True,1,"سوریه 
",سوریه,1,1.0,0.790396726,4,ok,,"سوریه 
",سوریه,1,1.0,0.0,0
87,1756,5805268973342330929.wav,ترامپ اعلام کرد نیروهای ایالات متحده از کدام کشور خارج خواهند شد؟,سوریه,اواخر روز یکشنبه رئیس جمهور ایالات متحده دونالد ترامپ در بیانیه‌ای از طریق دبیر مطبوعاتی کاخ سفید اعلام کرد نیروهای ایالات متحده از سوریه خارج خواهند شد,اواخر روز یکشنبه رییس جمهور ایالات متحده دونالد ترامپ در بیانیه ای از طریق دبیر مطبوعاتی کاخ سفید اعلام کرد نیروهای ایالات متحده از سوریه خارج خواهند شد,0.0357142857142857,0.006578947368421,True,1,"سوریه 
",سوریه,1,1.0,0.78123043,4,ok,,"سوریه 
",سوریه,1,1.0,0.0,0
87,1756,3281343886926939106.wav,ترامپ اعلام کرد نیروهای ایالات متحده از کدام کشور خارج خواهند شد؟,سوریه,اواخر روز یکشنبه رئیس جمهور ایالات متحده دونالد ترامپ در بیانیه‌ای از طریق دبیر مطبوعاتی کاخ سفید اعلام کرد نیروهای ایالات متحده از سوریه خارج خواهند شد,اواخر روز یکشنبه رئیس جمهور ایالات متحده دونالد ترامپ در بیانیه ای از طریق دبیرش مطبوعاتی کاخ سفید اعلام کرد نیروی ایالات متحده از سوریه خارج خواهد شد,0.1071428571428571,0.0263157894736842,True,1,"سوریه 
",سوریه,1,1.0,0.797260901,4,ok,,"سوریه 
",سوریه,1,1.0,0.0,0
30,1692,17817445526704484124.wav,بر اساس آژانس هسته‌ای ژاپن، چه مواد رادیواکتیوی در نیروگاه یافت شده است؟,سزیم و ید رادیواکتیو,بر اساس آژانس هسته‌ای ژاپن سزیم و ید رادیواکتیو در این نیروگاه یافت شده است,بر اساس آژانس هسته ای ژاپن سزیم و ید رادیواکتیو در نیروگاه یافت شده است,0.0625,0.0533333333333333,True,4,"سزیم و ید 
",سزیم و ید,0,0.857142857,1.230888055,8,ok,,"سزیم و ید 
",سزیم و ید,0,0.857142857,0.0,
30,1692,5814316723260501028.wav,بر اساس آژانس هسته‌ای ژاپن، چه مواد رادیواکتیوی در نیروگاه یافت شده است؟,سزیم و ید رادیواکتیو,بر اساس آژانس هسته‌ای ژاپن سزیم و ید رادیواکتیو در این نیروگاه یافت شده است,بر اساس آژانس هسته ای ژاپن سزیوم و ید رادیواکتیو در این نیروگاه یافت شده است,0.0625,0.0133333333333333,False,4,"سزیوم و ید رادیواکتیو 
",سزیوم و ید رادیواکتیو,0,0.75,1.872036106,14,ok,,"سزیم و ید 
",سزیم و ید,0,0.857142857,0.10714285700000004,
30,1692,9179706233467887426.wav,بر اساس آژانس هسته‌ای ژاپن، چه مواد رادیواکتیوی در نیروگاه یافت شده است؟,سزیم و ید رادیواکتیو,بر اساس آژانس هسته‌ای ژاپن سزیم و ید رادیواکتیو در این نیروگاه یافت شده است,بر اساس آژانس هسته ای ژاپن سزیم و ید رادیواکتیو در این نیروگاه یافت شده است,0.0,0.0,True,4,"سزیم و ید رادیواکتیو 
",سزیم و ید رادیواکتیو,1,1.0,1.865336683,14,ok,,"سزیم و ید 
",سزیم و ید,0,0.857142857,-0.14285714299999996,
265,1946,6705539136584189968.wav,سیاست‌های لغو مبتنی بر کرونا طبق متن تا چه زمانی ادامه نخواهند داشت؟,ژوئیه 2020,سیاست‌های لغو متفاوت است ولی در پایان مارس اکثر سیاست‌های لغو مبتنی بر ویروس کرونا تا ژوئیه ۲۰۲۰ یعنی زمانی که برای المپیک تعیین شده است ادامه نخواهند داشت,سیاست های لغو متفاوت است ولی در پایان مارس اکثر سیاست های لغو مبتنی بر ویروس کرونا تا ژوئیه دو هزار و بیست یعنی زمانی که برای المپیک تعیین شده است ادامه نخواهد داشت,0.1612903225806451,0.0967741935483871,False,2,"ژوئیه دو هزار و بیست 
",ژوئیه دو هزار و بیست,0,0.285714286,1.399731381,10,ok,,"ژوئیه ۲۰۲۰ 
",ژوئیه 2020,1,1.0,0.7142857140000001,1
265,1946,9076942891743919642.wav,سیاست‌های لغو مبتنی بر کرونا طبق متن تا چه زمانی ادامه نخواهند داشت؟,ژوئیه 2020,سیاست‌های لغو متفاوت است ولی در پایان مارس اکثر سیاست‌های لغو مبتنی بر ویروس کرونا تا ژوئیه ۲۰۲۰ یعنی زمانی که برای المپیک تعیین شده است ادامه نخواهند داشت,سیاست های لغو متفاوت است ولی در پایان مارس اکثر سیاست های لغو مبتنی بر ویروس کرونا تا ژوئیه دو هزار و بیست یعنی زمانی که برای المپیک تعیین شده است ادامه نخواهند داشت,0.1290322580645161,0.0903225806451612,False,2,"ژوئیه دو هزار و بیست 
",ژوئیه دو هزار و بیست,0,0.285714286,1.458361759,10,ok,,"ژوئیه ۲۰۲۰ 
",ژوئیه 2020,1,1.0,0.7142857140000001,1
265,1946,9286760352650970451.wav,سیاست‌های لغو مبتنی بر کرونا طبق متن تا چه زمانی ادامه نخواهند داشت؟,ژوئیه 2020,سیاست‌های لغو متفاوت است ولی در پایان مارس اکثر سیاست‌های لغو مبتنی بر ویروس کرونا تا ژوئیه ۲۰۲۰ یعنی زمانی که برای المپیک تعیین شده است ادامه نخواهند داشت,سیاست های لغو متفاوت است ولی در پایان مارس اکثر سیاست های لغو مبتنی بر ویروس کرونا تا ژانویه دو هزار و بیست یعنی زمانی که برای المپیک تعیین شده است ادامه نخواهد داشت,0.1935483870967742,0.1161290322580645,False,2,"ژانویه دو هزار و بیست 
",ژانویه دو هزار و بیست,0,0.0,1.466443469,10,ok,,"ژوئیه ۲۰۲۰ 
",ژوئیه 2020,1,1.0,1.0,1
96,1766,5964100993001913896.wav,اتم‌هایی با هسته ناپایدار چه تمایلی دارند؟,تمایل به فروپاشی دارند,بعضی اتم‌ها هسته‌های ناپایداری دارند یعنی بدون اشاره یا با اشاره‌ای کوچک تمایل به فروپاشی دارند,بعضیا تا ما هستی از هسته های ناپایداری دارند یعنی بدون اشاره یا با اشاره کوچک تمایل به فروپاشی دارند,0.3157894736842105,0.1263157894736842,True,4,"فروپاشی 
",فروپاشی,0,0.4,0.983302635,6,ok,,"تمایل به فروپاشی 
",تمایل به فروپاشی,0,0.857142857,0.457142857,
96,1766,14424932760355922312.wav,اتم‌هایی با هسته ناپایدار چه تمایلی دارند؟,تمایل به فروپاشی دارند,بعضی اتم‌ها هسته‌های ناپایداری دارند یعنی بدون اشاره یا با اشاره‌ای کوچک تمایل به فروپاشی دارند,بعضی اتم های بعضی اتم ها هسته های ناپایداری دارند یعنی بدون اشاره با اشاره ی کوچک تمایل به فروپاشی دارند,0.2631578947368421,0.1789473684210526,True,4,"فروپاشی 
",فروپاشی,0,0.4,1.009632988,6,ok,,"تمایل به فروپاشی 
",تمایل به فروپاشی,0,0.857142857,0.457142857,
96,1766,10130894543333251273.wav,اتم‌هایی با هسته ناپایدار چه تمایلی دارند؟,تمایل به فروپاشی دارند,بعضی اتم‌ها هسته‌های ناپایداری دارند یعنی بدون اشاره یا با اشاره‌ای کوچک تمایل به فروپاشی دارند,وضعیت ما هسته های ناپایداری دارند یعنی بدون اشاره یا با اشاره کوچک تمایل به فروپاشی دارند,0.2105263157894736,0.1052631578947368,True,4,"تمایل به فروپاشی 
",تمایل به فروپاشی,0,0.857142857,1.264529276,8,ok,,"تمایل به فروپاشی 
",تمایل به فروپاشی,0,0.857142857,0.0,
308,1993,646376842895159422.wav,طوفان نیمه‌گرمسیری جری چندمین طوفان فصل آتلانتیک بود؟,دهمین,دهمین مورد از طوفان آتلانتیک فصل که طوفان نیمه گرمسیری جری نام گرفته است امروز در اقیانوس اطلس شکل گرفت,دهمین مورد از طوفان آتلانتیک فصل که طوفان نیمه گرمسیری جری نام گرفته است امروز از اقیانوس اطلس شکل گرفت,0.05,0.0194174757281553,True,1,"دهم 
",دهم,0,0.0,0.679190383,3,ok,,"دهم 
",دهم,0,0.0,0.0,
308,1993,10397079169480139333.wav,طوفان نیمه‌گرمسیری جری چندمین طوفان فصل آتلانتیک بود؟,دهمین,دهمین مورد از طوفان آتلانتیک فصل که طوفان نیمه گرمسیری جری نام گرفته است امروز در اقیانوس اطلس شکل گرفت,دهمین مورد از طوفان آتلانتیک است که طوفان نیمه گرمسیری جری نام گرفته است امروز در اقیانوس اطلس شکل گرفت,0.05,0.029126213592233,True,1,"دهم 
",دهم,0,0.0,0.694360162,3,ok,,"دهم 
",دهم,0,0.0,0.0,
308,1993,11370021638935889151.wav,طوفان نیمه‌گرمسیری جری چندمین طوفان فصل آتلانتیک بود؟,دهمین,دهمین مورد از طوفان آتلانتیک فصل که طوفان نیمه گرمسیری جری نام گرفته است امروز در اقیانوس اطلس شکل گرفت,دهمین مورد از طوفان آتلانتیک فصل طوفان نیمه گرمسیری جری نام گرفته است امروز از اقیانوس اطلس شکل گرفت,0.1,0.0485436893203883,True,1,"دهم 
",دهم,0,0.0,0.680055699,3,ok,,"دهم 
",دهم,0,0.0,0.0,
